DATE,USEPUINDXM
2020-01-01,131.39109
2020-02-01,160.51565
2020-03-01,283.14721
2020-04-01,268.61639
2020-05-01,350.45982
2020-06-01,231.2598
2020-07-01,305.96355
2020-08-01,224.42637
2020-09-01,218.05829
2020-10-01,249.17362
2020-11-01,246.7071
2020-12-01,246.1261
2021-01-01,207.91242
2021-02-01,151.93288
2021-03-01,139.8012
2021-04-01,124.88952
2021-05-01,147.01584
2021-06-01,133.57887
2021-07-01,152.91092
2021-08-01,133.81455
2021-09-01,142.06763
2021-10-01,121.9515
2021-11-01,151.28684
2021-12-01,166.24265
2022-01-01,139.23758
2022-02-01,138.05353
2022-03-01,190.01241
2022-04-01,154.66196
2022-05-01,168.00083
2022-06-01,145.97594
2022-07-01,186.92141
2022-08-01,163.23982
2022-09-01,174.18347
2022-10-01,177.42313
2022-11-01,171.73726
2022-12-01,136.43315
2023-01-01,139.12464
2023-02-01,120.13662
2023-03-01,147.9425
2023-04-01,127.42137
2023-05-01,156.19287
2023-06-01,141.05706
2023-07-01,113.79255
2023-08-01,84.49314
2023-09-01,108.39746
2023-10-01,117.69793
2023-11-01,125.4752
2023-12-01,105.77133
2024-01-01,121.96395
2024-02-01,87.23672
2024-03-01,93.20401
2024-04-01,106.48626
2024-05-01,103.8162
2024-06-01,115.8524
2024-07-01,116.29613
2024-08-01,112.31229
2024-09-01,105.89523
2024-10-01,95.29997
2024-11-01,160.52062
2024-12-01,156.89088
2025-01-01,167.38864
2025-02-01,228.61916
2025-03-01,297.08402
2025-04-01,460.11432
2025-05-01,364.0518
2025-06-01,253.81813
2025-07-01,251.757
2025-08-01,254.12744
2025-09-01,224.23756
2025-10-01,217.50845
2025-11-01,218.76603
2025-12-01,205.27646
2026-01-01,253.68826
2026-02-01,255.35981
2026-03-01,260.0586
